season,grand_prix,round_number,driver,team,grid_position,finish_position,win,qualifying_position,qualifying_gap,reached_q3,avg_finish_last_3,avg_quali_last_3,podium_rate_last_5,dnf_rate_last_5,avg_position_gain_last_3,points_last_3,team_avg_finish_season,team_avg_quali_season,driver_championship_position,has_grid_penalty,driver_circuit_avg,team_circuit_avg
2018,Australian Grand Prix,1,ALO,McLaren,10.0,5.0,0,11.0,,0,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,BOT,Mercedes,15.0,8.0,0,10.0,,0,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,ERI,Sauber,17.0,19.0,0,17.0,,0,,,0.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,GAS,Toro Rosso,20.0,18.0,0,20.0,,0,,,0.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,GRO,Haas F1 Team,6.0,16.0,0,7.0,2.175,1,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,HAM,Mercedes,1.0,2.0,0,1.0,0.0,1,,,0.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,HAR,Toro Rosso,16.0,15.0,0,16.0,,0,,,0.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,HUL,Renault,7.0,7.0,0,8.0,2.368,1,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,LEC,Sauber,18.0,13.0,0,18.0,,0,,,0.2,0.0,,,,,,0,,
2018,Australian Grand Prix,1,MAG,Haas F1 Team,5.0,17.0,0,6.0,2.023,1,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,OCO,Force India,14.0,12.0,0,15.0,,0,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,PER,Force India,12.0,11.0,0,13.0,,0,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,RAI,Ferrari,2.0,3.0,0,2.0,0.664,1,,,0.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,RIC,Red Bull Racing,8.0,4.0,0,5.0,0.988,1,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,SAI,Renault,9.0,10.0,0,9.0,2.413,1,,,0.2,0.0,,,,,,0,,
2018,Australian Grand Prix,1,SIR,Williams,19.0,20.0,0,19.0,,0,,,0.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,STR,Williams,13.0,14.0,0,14.0,,0,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,VAN,McLaren,11.0,9.0,0,12.0,,0,,,0.0,0.0,,,,,,1,,
2018,Australian Grand Prix,1,VER,Red Bull Racing,4.0,6.0,0,4.0,0.715,1,,,1.0,0.0,,,,,,0,,
2018,Australian Grand Prix,1,VET,Ferrari,3.0,1.0,1,3.0,0.674,1,,,0.0,0.0,,,,,,0,,
2018,Bahrain Grand Prix,2,ALO,McLaren,13.0,7.0,0,13.0,,0,5.0,11.0,0.0,0.0,6.0,10.0,7.0,11.5,5.0,0,,
2018,Bahrain Grand Prix,2,BOT,Mercedes,3.0,2.0,0,3.0,0.166,1,8.0,10.0,0.0,0.0,2.0,4.0,5.0,5.5,8.0,0,,
2018,Bahrain Grand Prix,2,ERI,Sauber,17.0,9.0,0,17.0,,0,19.0,17.0,0.0,0.0,-2.0,0.0,16.0,17.5,11.0,0,,
2018,Bahrain Grand Prix,2,GAS,Toro Rosso,5.0,4.0,0,6.0,1.371,1,18.0,20.0,0.0,0.0,2.0,0.0,16.5,18.0,12.0,1,,
2018,Bahrain Grand Prix,2,GRO,Haas F1 Team,16.0,13.0,0,16.0,,0,16.0,7.0,0.0,0.0,-9.0,0.0,16.5,6.5,13.0,0,,
2018,Bahrain Grand Prix,2,HAM,Mercedes,9.0,3.0,0,4.0,0.262,1,2.0,1.0,0.0,0.0,-1.0,18.0,5.0,5.5,2.0,1,,
2018,Bahrain Grand Prix,2,HAR,Toro Rosso,11.0,17.0,0,11.0,,0,15.0,16.0,0.0,0.0,1.0,0.0,16.5,18.0,14.0,0,,
